,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.1904823164993563,7.0,,,,,,,,
XGBoost,500.0,0.09158762217296029,7.0,0.8120695450161983,,,,,,,
LightGBM,500.0,0.08337718138328318,16.0,,25.0,,,,,,
RF,500.0,,16.0,,,,,,,,
BRATD,500.0,0.24866018860461553,16.0,,,,,3.0,0.6465791333386821,0.8078803874732415,
Boulevard,500.0,0.5381769346016572,16.0,,,,,3.0,0.7153205932628064,0.0,
BRATP,500.0,1.0,10.0,,,,,18.0,0.7933155627622954,,16.0
ElasticNet,,,,,,0.21819364380106077,0.120024122529127,,,,
