,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.028909154458026397,5.0,,,,,,,,
XGBoost,500.0,0.016666518949158736,3.0,0.6987956742306545,,,,,,,
LightGBM,500.0,0.18361096041714062,1.0,,24.0,,,,,,
RF,500.0,,20.0,,,,,,,,
BRATD,500.0,0.7615759079175559,3.0,,,,,4.0,0.5054735126028806,0.23947700150876586,
Boulevard,500.0,0.6558192361247626,3.0,,,,,4.0,0.5438076902807625,0.0,
BRATP,500.0,1.0,11.0,,,,,17.0,0.8070952414923208,,14.0
ElasticNet,,,,,,3.807947176588889,0.9556428757689246,,,,
