,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.017715595728394314,3.0,,,,,,,,
XGBoost,500.0,0.18361096041714062,5.0,0.5779972601681014,,,,,,,
LightGBM,500.0,0.021839598388889207,5.0,,38.0,,,,,,
RF,500.0,,11.0,,,,,,,,
BRATD,500.0,0.9256241181092342,3.0,,,,,39.0,0.8418445539258181,0.12302384909598257,
Boulevard,500.0,0.869845546869357,9.0,,,,,32.0,0.5248697710715541,0.0,
BRATP,500.0,1.0,12.0,,,,,35.0,0.7028433764984419,,13.0
ElasticNet,,,,,,0.4854570713713823,0.1373029124808741,,,,
