,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.021291166737141497,3.0,,,,,,,,
XGBoost,500.0,0.02491260154590498,3.0,0.6332358021395873,,,,,,,
LightGBM,500.0,0.01076949254111665,9.0,,37.0,,,,,,
RF,500.0,,11.0,,,,,,,,
BRATD,500.0,0.5475890419054636,10.0,,,,,43.0,0.5070585079001207,0.476620962811407,
Boulevard,500.0,0.5750010037270287,16.0,,,,,42.0,0.5132839715076128,0.0,
BRATP,500.0,1.0,7.0,,,,,47.0,0.5592990427644364,,5.0
ElasticNet,,,,,,0.12994681014968798,0.37527794521383406,,,,
