,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.07312862004069268,10.0,,,,,,,,
XGBoost,500.0,0.11389332743027565,10.0,0.6980246068265864,,,,,,,
LightGBM,500.0,0.11861663446573512,16.0,,42.0,,,,,,
RF,500.0,,20.0,,,,,,,,
BRATD,500.0,0.8396027542823468,15.0,,,,,4.0,0.7316578783424483,0.2762369765324469,
Boulevard,500.0,0.890504068948499,15.0,,,,,2.0,0.7430838383670267,0.0,
BRATP,500.0,1.0,16.0,,,,,25.0,0.6396049706014966,,12.0
ElasticNet,,,,,,3.807947176588889,0.9556428757689246,,,,
