,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.028909154458026397,5.0,,,,,,,,
XGBoost,500.0,0.0680852407452583,11.0,0.5586318231799201,,,,,,,
LightGBM,500.0,0.017953571878123437,6.0,,21.0,,,,,,
RF,500.0,,8.0,,,,,,,,
BRATD,500.0,0.936443325827643,13.0,,,,,13.0,0.978763422430213,0.1138508675428297,
Boulevard,500.0,0.7264809704218851,12.0,,,,,15.0,0.9936239544260342,0.0,
BRATP,500.0,1.0,10.0,,,,,47.0,0.657880260791389,,11.0
ElasticNet,,,,,,0.13135072134691628,0.9988745690357272,,,,
