,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.022367552537720187,6.0,,,,,,,,
XGBoost,500.0,0.037866941704865355,3.0,0.5375366438134664,,,,,,,
LightGBM,500.0,0.021471469838881457,5.0,,20.0,,,,,,
RF,500.0,,16.0,,,,,,,,
BRATD,500.0,0.6903743550668494,15.0,,,,,35.0,0.7384894788650019,0.19030978995496894,
Boulevard,500.0,0.5771543396426982,16.0,,,,,49.0,0.7208796623735505,0.0,
BRATP,500.0,1.0,15.0,,,,,40.0,0.6185172594182388,,3.0
ElasticNet,,,,,,3.807947176588889,0.9556428757689246,,,,
