,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.20190485462614366,3.0,,,,,,,,
XGBoost,500.0,0.21534104756085318,3.0,0.9849549260809971,,,,,,,
LightGBM,500.0,0.23406065658161213,8.0,,37.0,,,,,,
RF,500.0,,14.0,,,,,,,,
BRATD,500.0,0.9410774377876162,6.0,,,,,23.0,0.9367518437665374,0.21453808727772494,
Boulevard,500.0,0.14162650801280752,11.0,,,,,9.0,0.989911272213016,0.0,
BRATP,500.0,1.0,11.0,,,,,26.0,0.8349822827091969,,15.0
ElasticNet,,,,,,0.3633944748658747,0.1386422291822869,,,,
