,n_estimators,learning_rate,max_depth,subsample,num_leaves,alpha,l1_ratio,min_samples_split,subsample_rate,dropout_rate,n_trees_per_group
GBT,500.0,0.017715595728394314,3.0,,,,,,,,
XGBoost,500.0,0.02261950929835097,3.0,0.7529620849066885,,,,,,,
LightGBM,500.0,0.01076949254111665,9.0,,37.0,,,,,,
RF,500.0,,5.0,,,,,,,,
BRATD,500.0,0.8519157675094587,4.0,,,,,12.0,0.5334866806523962,0.34213888258659175,
Boulevard,500.0,0.9137206730329981,4.0,,,,,27.0,0.7373704698172321,0.0,
BRATP,500.0,1.0,12.0,,,,,48.0,0.5724444654671097,,2.0
ElasticNet,,,,,,3.807947176588889,0.9556428757689246,,,,
